CONTAINER ID   IMAGE                   COMMAND                  CREATED          STATUS                   PORTS                                                                                          NAMES
e9eebf9dfd58   techstore-storefront    "dotnet StoreFront.d…"   8 minutes ago    Up 8 minutes             0.0.0.0:5000->80/tcp, [::]:5000->80/tcp                                                        techstore-storefront-1
f28dab05eb8a   nginx:latest            "/docker-entrypoint.…"   8 minutes ago    Up 8 minutes             0.0.0.0:8080->80/tcp, [::]:8080->80/tcp                                                        nginx_gateway
7de5a1bbb56d   techstore-warehouse-c   "dotnet TechStore.dll"   8 minutes ago    Up 8 minutes             8080/tcp                                                                                       techstore-warehouse-c-1
2c77dacd8704   techstore-warehouse-a   "dotnet TechStore.dll"   8 minutes ago    Up 8 minutes             8080/tcp                                                                                       techstore-warehouse-a-1
0970e7253715   techstore-warehouse-b   "dotnet TechStore.dll"   8 minutes ago    Up 8 minutes             8080/tcp                                                                                       techstore-warehouse-b-1
a3291ca09743   mongo:latest            "docker-entrypoint.s…"   8 minutes ago    Up 8 minutes             0.0.0.0:27018->27017/tcp, [::]:27018->27017/tcp                                                mongo2
7b0bd4076204   mongo:latest            "docker-entrypoint.s…"   8 minutes ago    Up 8 minutes             0.0.0.0:27017->27017/tcp, [::]:27017->27017/tcp                                                mongo1
9d6418400588   rabbitmq:3-management   "docker-entrypoint.s…"   8 minutes ago    Up 8 minutes (healthy)   0.0.0.0:5672->5672/tcp, [::]:5672->5672/tcp, 0.0.0.0:15672->15672/tcp, [::]:15672->15672/tcp   rabbitmq
395858a06823   mongo:latest            "docker-entrypoint.s…"   8 minutes ago    Up 8 minutes             0.0.0.0:27019->27017/tcp, [::]:27019->27017/tcp                                                mongo3
ac217926de27   storefront:dev          "dotnet --roll-forwa…"   13 minutes ago   Up 13 minutes            0.0.0.0:32768->8080/tcp, 0.0.0.0:32769->8081/tcp                                               StoreFront
626c2ce3f7c4   techstore-api:latest    "dotnet TechStore.dll"   4 hours ago      Up 4 hours               8080/tcp                                                                                       techstore-api-2
8f1ff498a47a   techstore-api:latest    "dotnet TechStore.dll"   4 hours ago      Up 4 hours               8080/tcp                                                                                       techstore-api-3
5ed5078b27a7   techstore-api:latest    "dotnet TechStore.dll"   5 hours ago      Up 4 hours               8080/tcp                                                                                       techstore-api-1
4bddbccf6d79   techstore:dev           "dotnet --roll-forwa…"   5 hours ago      Up 4 hours                                                                                                              TechStore
